SKU,Description,Category,Family,Brand,Tax,Unit,Price,CreatedDate
084-3932,CANDIL 5 TULIPAN E26,ADESI,ILUMINACION,ADESI,16,PZA,1662.7,18/08/2017
084-B-1014-GR,PLAFON LED MAGNO PLATA CHICO 18W 3500K,ADESI,ILUMINACION,ADESI,16,PZA,388.7,18/08/2017
084-B-1018-CH,PLAFO LED MAGNO CHOCOLATE GRANDE 24 WATTS 5000K,ADESI,ILUMINACION,ADESI,16,PZA,622.7,18/08/2017
084-CS-9022-WH,EMP BANO MIST LED 6W BCO 535LM 3500K IP 44,ADESI,ILUMINACION,ADESI,16,PZA,310.7,18/08/2017
084-H-0113-EI,COLGANTE 1 LUZ BOLA BCA E26,ADESI,ILUMINACION,ADESI,16,PZA,271.7,18/08/2017
084-H-5054-LD,COLGANTE SENSAO SENCILLO LED 5E 5000K,ADESI,ILUMINACION,ADESI,16,PZA,557.7,18/08/2017
084-H-5055-LD,COLGANTE SENSAO TRIPLE LED 15W 5000K,ADESI,ILUMINACION,ADESI,16,PZA,1818.7,18/08/2017
084-P1034-EL,PLAFON AMERICANO LUMINA RAIZ E26,ADESI,ILUMINACION,ADESI,16,PZA,297.7,18/08/2017
069-100-6201V,PLACA 1 MODULO HORIZONTAL MARFIL,ROYER,ARTEFACTOS/ACCESORIOS,ROYER,16,PZA,28.26,29/03/2017
069-100-6202B,PLACA 2 MODULO DISTANCIADOS CHOCOLATE,ROYER,ARTEFACTOS/ACCESORIOS,ROYER,16,PZA,28.26,29/03/2017
069-100-6202V,PLACA 2 MODULOS DISTANCIADOS MARFIL,ROYER,ARTEFACTOS/ACCESORIOS,ROYER,16,PZA,28.26,29/03/2017
069-100-6203S,PLACA 2 MODULOS JUNTOS PLATA,ROYER,CONEXIONES IND,ROYER,16,PZA,41.23,29/03/2017
069-100-6204CH,PLACA 3 MODULO CHAMPANGE,ROYER,ARTEFACTOS/ACCESORIOS,ROYER,16,PZA,41.23,29/03/2017
069-100-6206V,PLACA CIEGA MARFIL,ROYER,ARTEFACTOS/ACCESORIOS,ROYER,16,PZA,28.26,29/03/2017
069-100-6211WP,PLACA CON INTERRUPTOR SENCILLO,ROYER,ARTEFACTOS/ACCESORIOS,ROYER,16,PZA,60.03,30/10/2014
069-163,CONT.SEG.3P 15A-125V/10A-250V NGO,ROYER,ARTEFACTOS/ACCESORIOS,ROYER,16,PZA,60.85,NULL
069-3112,CONT.BAQUELITA 10A127V MARFIL,ROYER,ARTEFACTOS/ACCESORIOS,ROYER,16,PZA,20.6,NULL
069-5361,PLACA 1/U ALUM.ANOD.DORADA,ROYER,ARTEFACTOS/ACCESORIOS,ROYER,16,PZA,32.83,NULL
069-5362,PLACA 2/U ALUM.ANOD.DORADA,ROYER,ARTEFACTOS/ACCESORIOS,ROYER,16,PZA,32.83,NULL
069-5363,PLACA 3/U ALUM.ANOD.DORADA,ROYER,ARTEFACTOS/ACCESORIOS,ROYER,16,PZA,32.83,NULL
